id,is_monomer,SMILES,SIF_minutes,SGF_minutes,source_name
726.0,True,COc1ccc(C[C@H](NC(=O)[C@@H]2CSCC[C@H](NC(C)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)N[C@@H](CCC(N)=O)C(=O)N2)C(=O)N[C@H](Cc2ccc(C(C)(C)C)cc2)C(=O)N[C@](C)(CCCCN)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(N)=O)C(=O)NCC(N)=O)cc1,420,150,US9624268.csv
715.0,True,CC(=O)NCCCC[C@H](NC(=O)[C@@](C)(CCCCN)NC(=O)[C@H](Cc1ccc2ccccc2c1)NC(=O)[C@H](Cc1ccc(Oc2ccccc2)cc1)NC(=O)[C@@H]1CSCC[C@H](NC(C)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCC(N)=O)C(=O)N1)C(=O)N[C@@H](CC(N)=O)C(=O)NCC(N)=O,270,150,US9624268.csv
714.0,True,COc1ccc(C[C@H](NC(=O)[C@@H]2CSCC[C@H](NC(C)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)N[C@@H](CCC(N)=O)C(=O)N2)C(=O)N[C@@H](Cc2ccc3ccccc3c2)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](CCCCNC(C)=O)C(=O)N[C@@H](CC(N)=O)C(=O)NCC(N)=O)cc1,270,150,US9624268.csv
712.0,True,COc1ccc(C[C@H](NC(=O)[C@@H]2CSCC[C@H](NC(C)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)N[C@@H](CCC(N)=O)C(=O)N2)C(=O)N[C@@H](Cc2ccc3ccccc3c2)C(=O)N[C@](C)(CCCCN)C(=O)N[C@@H](CCCCNC(C)=O)C(=O)N[C@@H](CC(N)=O)C(=O)NCC(N)=O)cc1,150,30,US9624268.csv
706.0,True,COc1ccc(C[C@H](NC(=O)[C@@H]2CSCC[C@H](NC(C)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)N[C@@H](CCC(N)=O)C(=O)N2)C(=O)N[C@@H](Cc2ccc3ccccc3c2)C(=O)N[C@](C)(CCCN)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(N)=O)C(=O)NCC(N)=O)cc1,270,30,US9624268.csv
705.0,True,COc1ccc(C[C@H](NC(=O)[C@@H]2CSCC[C@H](NC(C)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)N[C@@H](CCC(N)=O)C(=O)N2)C(=O)N[C@@H](Cc2ccc3ccccc3c2)C(=O)N[C@](C)(CCCCN)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(N)=O)C(=O)NCC(N)=O)cc1,420,30,US9624268.csv
704.0,True,CC(=O)N[C@H]1CCSC[C@@H](C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccc3ccccc3c2)C(=O)N[C@](C)(CCCCN)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(N)=O)C(=O)NCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCC(N)=O)NC1=O,420,30,US9624268.csv
703.0,True,CC(=O)N[C@H]1CCSC[C@@H](C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@](C)(CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(N)=O)C(=O)NCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCC(N)=O)NC1=O,420,30,US9624268.csv
701.0,True,CC(=O)N[C@H]1CCSC(C)(C)[C@@H](C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(N)=O)C(=O)NCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCC(N)=O)NC1=O,270,30,US9624268.csv
700.0,True,CC(=O)N[C@H]1CCSC[C@H](C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(N)=O)C(=O)NCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCC(N)=O)NC1=O,150,30,US9624268.csv
